,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
2542,기아,K5 하이브리드,프레스티지,5700000,11년05월(12년형),"193,456km",하이브리드(가솔린),오토,정보없음,중형,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
2543,기아,더 뉴 K5 2세대,2.0 LPI 프레스티지,19000000,19년03월(21년형),"25,917km",LPG,오토,정보없음,중형,"2,000cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
2544,기아,더 뉴 K5,트렌디,12300000,14년01월(14년형),"96,000km",가솔린,오토,11.9Km,중형,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,4회,보통,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
2545,기아,K5 2세대,1.7 디젤 SX 노블레스,15000000,16년07월(16년형),"52,994km",디젤,오토,15.9Km,중형,0cc,회색,정보없음,없음,없음,사고있음,없음,없음,있음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2546,기아,K5 2세대,렌터카 2.0 LPI SX 럭셔리,9900000,16년01월(16년형),"119,505km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,3회,많음,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
2547,기아,K5,2.0 LPI 프레스티지,5800000,11년03월(11년형),"234,158km",LPG,오토,정보없음,중형,"1,998cc",쥐색,없음,없음,없음,사고있음,없음,없음,없음,8회,많음,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2548,기아,K5 2세대,렌터카 2.0 LPI SX 럭셔리,11500000,16년11월(17년형),"93,813km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,1 건,사고없음,없음,없음,있음,3회,많음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2549,기아,더 뉴 K5,LPI 디럭스 기본형,4700000,13년07월(14년형),"180,000km",LPG,오토,정보없음,중형,"1,999cc",검정,없음,없음,1 건,사고있음,없음,없음,있음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2550,기아,더 뉴 K5 2세대,2.0 가솔린 노블레스,22900000,18년03월(19년형),"9,424km",가솔린,오토,11.6Km,중형,0cc,회색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0
2551,기아,K5,가솔린 2.0 프레스티지,8300000,11년01월(11년형),"89,000km",가솔린,오토,정보없음,중형,0cc,진주,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2552,기아,K5,가솔린 2.0 디럭스,5000000,12년05월(13년형),"236,518km",LPG,오토,11.9Km,중형,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2553,기아,K5,2.0 LPI 프레스티지,7500000,11년02월(11년형),"96,378km",LPG,오토,정보없음,중형,"1,998cc",진주색,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2554,기아,더 뉴 K5,트렌디,11500000,14년10월(15년형),"76,845km",가솔린,오토,정보없음,중형,0cc,검정색,정보없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2555,기아,더 뉴 K5,터보 GDI 노블레스,9800000,14년01월(14년형),"147,453km",가솔린,오토,정보없음,중형,0cc,검정색,정보없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2556,기아,K5 하이브리드,프레스티지,7800000,11년06월(12년형),"135,407km",하이브리드(가솔린),오토,정보없음,중형,"1,999cc",회색,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0
2557,기아,K5,가솔린 2.0 디럭스,5000000,13년05월(13년형),"113,358km",가솔린,오토,11.9Km,중형,0cc,은색,정보없음,없음,없음,사고없음,없음,없음,있음,3회,보통,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2558,기아,K5,가솔린 2.0 디럭스,5500000,10년11월(11년형),"133,738km",가솔린,오토,정보없음,중형,"1,998cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
