,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
2187,기아,뉴모닝밴,2인승밴 고급형,1800000,09년11월(10년형),"105,415km",가솔린,오토,정보없음,경차,0cc,파랑색,정보없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2188,기아,all new 모닝,럭셔리,5200000,11년03월(12년형),"74,246km",가솔린,오토,정보없음,경차,998cc,회색,없음,없음,없음,사고없음,없음,없음,없음,3회,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
2189,기아,all new 모닝,럭셔리,5200000,11년02월(12년형),"50,622km",가솔린,오토,정보없음,경차,998cc,은색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
2190,기아,all new 모닝,럭셔리,3900000,13년05월(13년형),"141,608km",가솔린,오토,정보없음,경차,998cc,회색,없음,없음,없음,사고있음,없음,없음,없음,5회,많음,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1
2191,기아,올 뉴 모닝(JA),프레스티지,9900000,17년06월(17년형),"38,848km",가솔린,오토,15.3Km,경차,999cc,진주색,없음,정보없음,없음,사고없음,없음,없음,없음,3회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
2192,기아,all new 모닝,럭셔리,5300000,14년06월(15년형),"93,513km",가솔린,오토,정보없음,경차,998cc,진주색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2193,기아,더 뉴 모닝,럭셔리,7290000,15년07월(16년형),"53,415km",가솔린,오토,정보없음,경차,998cc,검정색,없음,없음,없음,사고없음,없음,없음,없음,4회,보통,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1
2194,기아,뉴모닝,SLX 고급형 블랙프리미엄,2500000,09년02월(09년형),"80,925km",가솔린,오토,정보없음,경차,999cc,은색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2195,기아,all new 모닝,럭셔리,5890000,14년07월(15년형),"70,982km",가솔린,오토,정보없음,경차,998cc,진주색,없음,없음,없음,사고없음,없음,없음,없음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2196,기아,더 뉴 모닝,럭셔리,6900000,15년03월(15년형),"46,136km",가솔린,오토,정보없음,경차,998cc,진주색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
2197,기아,더 뉴 모닝,럭셔리,7600000,16년09월(16년형),"27,541km",가솔린,오토,정보없음,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
2198,기아,all new 모닝,럭셔리,6300000,14년09월(15년형),"89,065km",가솔린,오토,정보없음,경차,998cc,진주색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
