,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
35,기아,봉고3,1톤 초장축 더블캡 CRDi 럭셔리,11000000,15년11월(16년형),"61,036km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,기아,봉고3,1.2톤 초장축 표준캡 CRDi 프레스티지,10900000,16년04월(16년형),"101,896km",디젤,수동,정보없음,트럭,"2,000cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,기아,봉고3,1톤 프리미엄 와이드 트럭 킹캡 초장축 디럭스,5200000,11년12월(12년형),"133,224km",LPG,수동,정보없음,특수,"1,998cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,기아,봉고3,1톤 초장축 킹캡 CRDi,2800000,09년10월(10년형),"298,757km",디젤,수동,정보없음,트럭,"2,957cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,3회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,기아,봉고3,1톤 냉동탑차 초장축 플러스형 킹캡 디럭스 듀얼펌프,13600000,18년01월(18년형),"58,080km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,2회,많음,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
40,기아,봉고3,1톤 냉동탑차 초장축 표준형 킹캡 럭셔리,6990000,13년08월(13년형),"111,759km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,기아,봉고3,1톤 킹캡 초장축 CRDi 럭셔리,12300000,16년03월(16년형),"12,140km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
42,기아,봉고3,1톤 초장축 더블캡 CRDi,7900000,14년04월(14년형),"107,275km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,1 건,사고있음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,기아,봉고3,1톤 냉장탑차 초장축 플러스형 킹캡 럭셔리,16990000,19년03월(19년형),"34,900km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0
44,기아,봉고3,4WD 1톤 장축 킹캡 CRDi 럭셔리,13300000,15년11월(16년형),"57,723km",디젤,수동,정보없음,트럭,"2,902cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
