,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
19,기아,올 뉴 카니발,9인승 2.2 디젤 럭셔리,17200000,14년09월(15년형),"94,691km",디젤,오토,10.3Km,RV,"2,199cc",회색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
20,기아,카니발 R,그랜드카니발 GX 고급형,4500000,10년05월(10년형),"233,699km",디젤,오토,정보없음,RV,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,있음,6회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,기아,그랜드카니발,GLX 기본형,4000000,06년01월(06년형),"121,975km",디젤,오토,정보없음,RV,"2,902cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
22,기아,카니발 R,그랜드카니발 GLX 고급형,4000000,12년11월(13년형),"283,223km",디젤,오토,정보없음,RV,"2,199cc",파랑,없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
23,기아,카니발 R,그랜드카니발 GLX 프리미엄,10500000,13년06월(13년형),"114,719km",디젤,오토,정보없음,RV,"2,200cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
24,기아,올 뉴 카니발,9인승 3.3 가솔린 하이리무진 노블레스,39990000,16년11월(17년형),"68,173km",가솔린,오토,8.3Km,RV,"3,342cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,4회,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
25,기아,더 뉴 카니발,11인승 2.2 디젤 프레스티지,24500000,19년06월(19년형),"35,000km",디젤,오토,정보없음,RV,"2,200cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,없음,많음,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
26,기아,더 뉴 카니발,11인승 2.2 디젤 프레스티지,22500000,19년06월(19년형),"43,000km",디젤,오토,정보없음,RV,"2,200cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,없음,많음,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
27,기아,카니발 R,그랜드카니발 GLX 기본형,7900000,11년01월(11년형),"66,758km",디젤,오토,정보없음,RV,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
28,기아,올 뉴 카니발,9인승 2.2 디젤 하이리무진 노블레스,26900000,16년02월(16년형),"125,000km",디젤,오토,10.3Km,RV,"2,199cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
