,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
11,한국GM,크루즈,3500000,11,132989,가솔린,오토,12.5,준중형,0,회색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1134476439917733
12,한국GM,크루즈,4300000,12,95217,가솔린,오토,12.5,준중형,1796,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,-0.8013832803482454
13,한국GM,크루즈,4850000,13,113493,가솔린,오토,12.5,준중형,1796,흰색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,-0.5868390303433199
14,한국GM,크루즈,6090000,13,61769,가솔린,오토,12.6,준중형,1399,흰색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.10313926669585145
15,한국GM,크루즈,4400000,13,128220,가솔린,오토,12.5,준중형,1800,은색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.7623752348928043
16,한국GM,크루즈,6700000,15,104552,디젤,오토,13.1,준중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,3,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.13480981058233865
17,한국GM,크루즈,5900000,15,109667,디젤,오토,12.5,준중형,1998,검정,0,없음,없음,사고있음,없음,없음,없음,1,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.17725455306118937
18,한국GM,크루즈,4800000,14,83115,디젤,오토,12.5,준중형,1998,회색,0,없음,없음,사고있음,20150113,없음,없음,5,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.6063430530710404
19,한국GM,크루즈,3400000,12,181480,디젤,오토,12.5,준중형,2000,회색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,-1.1524556894472144
20,한국GM,크루즈,5700000,12,76367,가솔린,오토,12.5,준중형,1796,브라운,0,없음,없음,사고있음,없음,없음,없음,3,짧음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,-0.25527064397207133
22,한국GM,크루즈,4500000,11,102932,디젤,오토,12.5,준중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.7233671894373633
23,한국GM,크루즈,6890000,13,89143,디젤,오토,12.5,준중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,4,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.20892509694767655
24,한국GM,크루즈,6300000,15,136465,디젤,오토,13.1,준중형,0,검정색,0,없음,1 건,사고있음,없음,없음,없음,0,많음,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,-0.021222371239425355
25,한국GM,크루즈,3290000,11,203238,디젤,오토,12.5,준중형,1998,회색,0,없음,없음,사고있음,없음,없음,없음,6,많음,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,-1.1953645394481995
26,한국GM,크루즈,3200000,12,127000,가솔린,오토,12.5,준중형,1796,검정,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2304717803580965
27,한국GM,크루즈,4500000,12,140000,디젤,오토,12.5,준중형,1998,회색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7233671894373633
28,한국GM,크루즈,5500000,12,112315,가솔린,오토,12.5,준중형,0,검정색,0,없음,없음,사고있음,없음,없음,없음,5,보통,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,-0.33328673488295335
29,한국GM,크루즈,3700000,11,97273,가솔린,오토,12.5,준중형,1800,회색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-1.0354315530808913
30,한국GM,크루즈,7900000,15,34809,가솔린,오토,11.3,준중형,1800,은색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0.6029063560476307
