,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
44,기아,카니발,LIMITED 고급형,3500000,5,155025,디젤,오토,10.7,RV,2902,파랑,0,없음,없음,사고있음,없음,없음,없음,7,짧음,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-1.2875038780315742
45,기아,카니발,그랜드카니발 GLX 고급형,4700000,13,322440,디젤,오토,10.7,RV,2199,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,-1.1754996258889567
46,기아,카니발,9인승 2.2 디젤 프레스티지,19300000,14,68000,디젤,오토,11.5,RV,2199,쥐색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.18721877517955662
47,기아,카니발,뉴카니발 GX 고급형,4400000,10,189000,디젤,오토,10.7,RV,2199,회색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2035006889246112
48,기아,카니발,GX 그랜드 팩,2700000,9,219252,디젤,오토,10.7,RV,2199,흰색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.362173379459986
50,기아,카니발,그랜드카니발 President,6600000,11,207919,디젤,오토,10.7,RV,2199,검정,0,없음,없음,사고있음,없음,없음,없음,0,많음,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.998159559996479
51,기아,카니발,9인승 2.2 디젤 럭셔리,15700000,14,111936,디젤,오토,10.3,RV,2199,흰색,0,없음,없음,사고없음,없음,없음,없음,1,보통,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.14879398124829596
52,기아,카니발,GX 기본형,2590000,6,105000,디젤,오토,10.7,RV,0,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3724404359063924
54,기아,카니발,9인승 2.2 디젤 노블레스,21800000,16,94000,디젤,오토,11.2,RV,0,흰색,0,없음,없음,사고있음,없음,없음,없음,3,많음,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0.4205609671433432
55,기아,카니발,9인승 2.2 디젤 노블레스 스페셜,24800000,17,116500,디젤,오토,10.7,RV,2199,흰색,0,없음,없음,사고있음,없음,없음,없음,0,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.700571597499887
56,기아,카니발,9인승 2.2 디젤 럭셔리,19900000,15,35988,디젤,오토,10.3,RV,2199,흰색,0,없음,없음,사고있음,없음,없음,있음,1,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.2432209012508654
57,기아,카니발,9인승 2.2 디젤 하이리무진 프레스티지,35200000,17,66317,디젤,오토,10.7,RV,2199,검정색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.671275116069239
58,기아,카니발,그랜드카니발 GLX 고급형,6690000,12,179003,디젤,오토,10.7,RV,2199,검정색,0,없음,없음,사고있음,없음,없음,없음,5,많음,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,-0.9897592410857826
59,기아,카니발,그랜드카니발 GLX 고급형,7300000,12,158634,디젤,오토,10.7,RV,2199,검정,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-0.9328237462466187
60,기아,카니발,11인승 2.2 디젤 프레스티지,16300000,14,120133,디젤,오토,10.7,RV,2199,진주색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09279185517698721
61,기아,카니발,9인승 2.2 디젤 하이리무진 프레스티지,31990000,16,60092,디젤,오토,10.3,RV,2199,검정색,0,없음,없음,사고없음,없음,없음,없음,0,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.371663741587737
62,기아,카니발,그랜드카니발 11인승 하이리무진 GLX 최고급형,11700000,13,160000,디젤,오토,10.7,RV,0,검정색,0,없음,1 건,사고없음,없음,없음,있음,5,많음,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,-0.5221414883903545
63,기아,카니발,9인승 2.2 디젤 프레스티지,26700000,17,60356,디젤,오토,10.7,RV,0,진주색,0,없음,1 건,사고있음,없음,없음,없음,0,보통,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0.8779116633923647
64,기아,카니발,GLX 고급형,3300000,6,202744,디젤,오토,10.7,RV,2902,흰색,0,없음,없음,사고있음,없음,없음,없음,2,보통,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,-1.3061712533886771
65,기아,카니발,11인승 2.2 디젤 노블레스,28790000,17,22285,디젤,오토,10.7,RV,2199,흰색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0729857358740902
66,기아,카니발,9인승 2.2 디젤 럭셔리,16500000,15,98000,디젤,오토,10.3,RV,2199,은색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,-0.07412447981988428
67,기아,카니발,뉴카니발 리무진 가솔린 President,7700000,11,186000,가솔린,오토,10.7,RV,0,다크그레이,0,없음,없음,사고있음,없음,없음,없음,5,많음,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,-0.8954889955324129
68,기아,카니발,그랜드카니발 GLX R 스페셜,8500000,11,131408,디젤,오토,10.7,RV,2199,검정,0,없음,1 건,사고없음,없음,없음,없음,4,보통,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.8208194941040011
69,기아,카니발,그랜드카니발 GLX R 스페셜,7000000,10,98000,디젤,오토,10.7,RV,2199,진주색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,-0.9608248092822731
70,기아,카니발,GX 최고급형,6000000,9,140247,디젤,오토,10.7,RV,2902,은색,0,없음,없음,사고있음,없음,없음,없음,9,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0541616860677876
71,기아,카니발,그랜드카니발 GLX R 스페셜,7800000,11,154517,디젤,오토,10.7,RV,2199,검정색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8861553078538614
72,기아,카니발,9인승 3.3 가솔린 하이리무진 노블레스,27290000,16,197536,가솔린,오토,8.3,RV,3342,진주색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.9329804206958183
