,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
41,기아,봉고3,1톤 킹캡 초장축 CRDi 럭셔리,12300000,16,12140,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.3436821461903562
42,기아,봉고3,1톤 초장축 더블캡 CRDi,7900000,14,107275,디젤,수동,9.1,트럭,2500,흰색,0,없음,1 건,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4054906309238779
43,기아,봉고3,1톤 냉장탑차 초장축 플러스형 킹캡 럭셔리,16990000,19,34900,디젤,오토,9.1,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1.1422322199780284
44,기아,봉고3,4WD 1톤 장축 킹캡 CRDi 럭셔리,13300000,15,57723,디젤,수동,9.1,트럭,2902,파랑색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.5139486864435913
45,기아,봉고3,코치 초장축 15인승 SDX,3500000,4,264245,디젤,수동,9.1,승합,2497,은색투톤,0,없음,없음,사고있음,없음,없음,없음,4,보통,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.154663408038112
46,기아,봉고3,1톤 초장축 더블캡 CRDi,5500000,11,177090,디젤,오토,9.1,트럭,2902,흰색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8141303275316419
47,기아,봉고3,1.2톤 윙바디 초장축 수동식 킹캡 프레스티지,6000000,13,285416,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,있음,6,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7289970574050244
48,기아,봉고3,4WD 1톤 장축 킹캡 CRDi 럭셔리,13700000,18,68720,디젤,수동,9.1,트럭,9999,흰색,0,없음,없음,사고없음,없음,없음,없음,0,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5820553025448852
49,기아,봉고3,1톤 초장축 킹캡 CRDi,2900000,7,230434,디젤,수동,9.1,트럭,0,청색,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.256823332190053
50,기아,봉고3,1톤 내장탑차 킹캡 하이탑,10500000,15,28728,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,4,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03720237373453316
