,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
41,현대,쏘나타,6800000,10,52482,가솔린,오토,12.5,중형,1998,다크그레이,0,없음,없음,사고없음,없음,없음,없음,3,짧음,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,-0.2984457268506837
42,현대,쏘나타,3300000,11,195861,가솔린,오토,12.5,중형,1999,은색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,-0.8874037286011922
43,현대,쏘나타,5000000,9,142124,가솔린,오토,12.5,중형,1998,검정색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.601338413465231
44,현대,쏘나타,19500000,18,95874,하이브리드(가솔린),오토,12.5,중형,1998,흰색,0,없음,없음,사고없음,없음,없음,없음,1,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.8386304509297327
45,현대,쏘나타,3900000,11,175538,LPG,오토,12.5,중형,1999,검정,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,-0.7864394997296764
46,현대,쏘나타,4200000,9,90940,가솔린,오토,12.5,중형,1999,세틴메탈,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,-0.7359573852939186
47,현대,쏘나타,14900000,15,85308,디젤,오토,16.5,중형,1699,검정색,0,없음,없음,사고없음,없음,없음,있음,2,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.0645713629147786
48,현대,쏘나타,5100000,9,178900,가솔린,오토,12.5,중형,1998,회색,0,없음,없음,사고있음,없음,없음,없음,4,보통,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,-0.5845110419866449
49,현대,쏘나타,2900000,7,142009,LPG,오토,12.5,중형,1998,검정색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.954713214515536
50,현대,쏘나타,13000000,16,78621,LPG,오토,12.5,중형,1999,검정색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7448513048216455
