,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
465,쌍용,더 뉴 코란도 스포츠,17990000,17년03월(17년형),"35,000km",디젤,오토,정보없음,트럭,"2,000cc",회색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
466,쌍용,코란도 스포츠,13700000,15년09월(16년형),"103,883km",디젤,오토,정보없음,트럭,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
467,쌍용,뉴코란도 C,7400000,14년11월(15년형),"116,344km",디젤,오토,정보없음,SUV,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,보통,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
468,쌍용,코란도C,6300000,13년08월(13년형),"77,359km",디젤,오토,10.7Km,SUV,"1,998cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
469,쌍용,코란도C,4200000,11년08월(11년형),"95,720km",디젤,수동,정보없음,SUV,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,쌍용,코란도 스포츠,11300000,14년11월(15년형),"107,806km",디젤,오토,정보없음,트럭,0cc,회색,정보없음,없음,1 건,사고있음,없음,없음,없음,6회,보통,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
471,쌍용,코란도 스포츠,6000000,13년05월(14년형),"154,547km",디젤,오토,정보없음,트럭,"1,998cc",흰색,없음,없음,없음,사고있음,20180423,없음,없음,4회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,쌍용,뉴코란도 C,8800000,15년06월(15년형),"121,698km",디젤,오토,13.3Km,SUV,"1,998cc",파랑색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
473,쌍용,뉴코란도 C,6800000,14년01월(14년형),"164,524km",디젤,오토,11.6Km,SUV,"1,998cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1
474,쌍용,코란도 투리스모,18990000,17년08월(18년형),"67,624km",디젤,오토,정보없음,SUV,"2,157cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1
475,쌍용,코란도C,7500000,12년03월(12년형),"134,678km",디젤,오토,정보없음,SUV,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
476,쌍용,코란도 스포츠,6500000,13년05월(14년형),"210,000km",디젤,오토,정보없음,트럭,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,5회,많음,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
477,쌍용,뉴코란도밴,4500000,04년09월(05년형),"99,252km",디젤,오토,정보없음,SUV,"2,874cc",진주색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
478,쌍용,코란도 스포츠,16990000,15년09월(16년형),"30,993km",디젤,오토,정보없음,트럭,"1,998cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,2회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
479,쌍용,더 뉴 코란도 스포츠,15000000,16년09월(17년형),"110,000km",디젤,오토,정보없음,트럭,"2,157cc",쥐색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0
480,쌍용,코란도 투리스모,11500000,13년09월(14년형),"84,000km",디젤,오토,11.3Km,SUV,"1,998cc",은색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
481,쌍용,코란도 스포츠,11500000,12년03월(12년형),"69,636km",디젤,오토,정보없음,트럭,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
482,쌍용,뉴코란도 C,5900000,14년03월(14년형),"177,270km",디젤,오토,11.6Km,SUV,0cc,검정,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,쌍용,코란도C,5900000,11년08월(11년형),"89,645km",디젤,오토,정보없음,SUV,"2,000cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,9회,짧음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
484,쌍용,코란도 스포츠,6700000,13년02월(13년형),"167,071km",디젤,오토,정보없음,트럭,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,5회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,쌍용,코란도 스포츠,11500000,15년03월(15년형),"116,000km",디젤,오토,정보없음,트럭,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
486,쌍용,뉴코란도 C,8000000,14년02월(14년형),"83,698km",디젤,오토,정보없음,SUV,"1,998cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1
487,쌍용,뉴코란도 C,5900000,14년02월(14년형),"176,102km",디젤,오토,정보없음,SUV,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,쌍용,뷰티플 코란도,24400000,20년05월(21년형),"3,342km",가솔린,오토,정보없음,SUV,"1,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
489,쌍용,코란도 투리스모,12800000,14년10월(15년형),"166,233km",디젤,오토,정보없음,SUV,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
490,쌍용,코란도 스포츠,13500000,14년06월(14년형),"80,120km",디젤,오토,정보없음,트럭,"1,998cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,3회,짧음,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1
491,쌍용,뉴코란도 C,6600000,13년10월(14년형),"154,000km",디젤,오토,정보없음,SUV,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1
492,쌍용,코란도C,7300000,13년02월(13년형),"120,162km",디젤,오토,10.7Km,SUV,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
493,쌍용,코란도 스포츠,8500000,12년01월(12년형),"166,000km",디젤,오토,정보없음,트럭,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
494,쌍용,코란도C,7300000,13년01월(14년형),"126,000km",디젤,오토,정보없음,SUV,"2,000cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
495,쌍용,뉴코란도 C,10200000,14년08월(15년형),"43,586km",디젤,오토,13.3Km,SUV,"1,998cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
496,쌍용,뷰티플 코란도,20900000,19년06월(19년형),"22,027km",디젤,오토,14.1Km,SUV,"1,597cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
497,쌍용,코란도 스포츠,9200000,15년08월(16년형),"196,149km",디젤,오토,정보없음,트럭,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
498,쌍용,코란도 스포츠,14500000,13년05월(14년형),"47,450km",디젤,오토,정보없음,트럭,"1,998cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
499,쌍용,뉴코란도 C,12000000,15년04월(15년형),"45,000km",디젤,오토,13.3Km,SUV,"1,998cc",검정색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
500,쌍용,코란도 스포츠,13500000,14년07월(15년형),"70,000km",디젤,오토,정보없음,트럭,"1,998cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0
501,쌍용,코란도 투리스모,15700000,13년09월(14년형),"119,000km",디젤,오토,정보없음,SUV,"1,998cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,2회,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
