,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
48,쌍용,티볼리 에어,13500000,16년06월(16년형),"48,811km",디젤,오토,13.8Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
49,쌍용,티볼리,11500000,15년05월(15년형),"20,000km",가솔린,오토,12.3Km,SUV,0cc,은색,정보없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,쌍용,티볼리,12300000,16년07월(16년형),"52,943km",디젤,오토,15.3Km,SUV,"1,597cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1
51,쌍용,티볼리 아머,16490000,18년09월(19년형),"20,781km",가솔린,오토,정보없음,SUV,"1,597cc",검정색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1
52,쌍용,티볼리 아머,16200000,19년05월(19년형),"23,705km",디젤,오토,14.2Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1
53,쌍용,티볼리 아머,10900000,17년05월(17년형),"90,745km",디젤,오토,14.7Km,SUV,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
54,쌍용,티볼리,12500000,15년10월(16년형),"49,000km",가솔린,오토,11.4Km,SUV,"1,600cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1
55,쌍용,티볼리 에어,12900000,16년04월(16년형),"53,556km",디젤,오토,13.8Km,SUV,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,쌍용,티볼리 에어,13000000,16년07월(16년형),"40,459km",디젤,오토,13.8Km,SUV,"1,597cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
57,쌍용,티볼리 에어,13200000,16년10월(17년형),"42,746km",가솔린,오토,10.8Km,SUV,"1,597cc",은색,없음,없음,1 건,사고없음,없음,없음,있음,3회,짧음,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
